id,tarih,ürün,ürün besin değeri,ürün kategorisi,ürün üretim yeri,market,şehir
74,2021-01-01,fındık,110,kuruyemiş,Yurt içi,M,A
75,2021-01-01,fıstık,115,kuruyemiş,Yurt içi,M,A
76,2021-01-01,kaju,100,kuruyemiş,Yurt içi,M,A
77,2021-01-01,badem,110,kuruyemiş,Yurt içi,M,A
78,2021-01-01,ceviz,120,kuruyemiş,Yurt içi,M,A
79,2021-01-01,kıyma,120,et,Yurt dışı,M,A
80,2021-01-01,tavuk,103,et,Yurt dışı,M,A
81,2021-01-01,hindi,160,et,Yurt dışı,M,A
82,2021-01-01,Bakla-kuru,354,sebze ve bakliyat,Yurt dışı,M,A
83,2021-01-01,Bakla-taze,72,sebze ve bakliyat,Yurt dışı,M,A
84,2021-01-01,Bamya,42,sebze ve bakliyat,Yurt dışı,M,A
85,2021-01-01,Barbunya-kuru,346,sebze ve bakliyat,Yurt dışı,M,A
86,2021-01-01,Bezelye-taze,47,sebze ve bakliyat,Yurt dışı,M,A
87,2021-01-01,Biber-yeşil,25,sebze ve bakliyat,Yurt dışı,M,A
88,2021-01-01,Brüksel laha.,47,sebze ve bakliyat,Yurt dışı,M,A
89,2021-01-01,Domates,25,sebze ve bakliyat,Yurt dışı,M,A
90,2021-01-01,Enginar,63,sebze ve bakliyat,Yurt dışı,M,A
91,2021-01-01,Fasulye-kuru,333,sebze ve bakliyat,Yurt dışı,M,A
92,2021-01-01,Fasulye-taze,35,sebze ve bakliyat,Yurt dışı,M,A
93,2021-01-01,Havuç,42,sebze ve bakliyat,Yurt dışı,M,A
94,2021-01-01,Salatalık,8,sebze ve bakliyat,Yurt dışı,M,A
95,2021-01-01,Ispanak,25,sebze ve bakliyat,Yurt dışı,M,A
96,2021-01-01,Kabak,19,sebze ve bakliyat,Yurt dışı,M,A
97,2021-01-01,Karnabahar,25,sebze ve bakliyat,Yurt dışı,M,A
98,2021-01-01,Kereviz-baş,38,sebze ve bakliyat,Yurt dışı,M,A
99,2021-01-01,Kırmızı-pancar,42,sebze ve bakliyat,Yurt dışı,M,A
100,2021-01-01,Lahana,24,sebze ve bakliyat,Yurt dışı,M,A
101,2021-01-01,Mantar,16,sebze ve bakliyat,Yurt dışı,M,A
102,2021-01-01,Marul,15,sebze ve bakliyat,Yurt dışı,M,A
103,2021-01-01,Mercimek-kuru,351,sebze ve bakliyat,Yurt dışı,M,A
104,2021-01-01,Nohut,376,sebze ve bakliyat,Yurt dışı,M,A
105,2021-01-01,Pancar,42,sebze ve bakliyat,Yurt dışı,M,A
106,2021-01-01,Patates,83,sebze ve bakliyat,Yurt dışı,M,A
107,2021-01-01,Patlıcan,24,sebze ve bakliyat,Yurt dışı,M,A
108,2021-01-01,Pazı,27,sebze ve bakliyat,Yurt dışı,M,A
109,2021-01-01,Pırasa,52,sebze ve bakliyat,Yurt dışı,M,A
110,2021-01-01,Semizotu,32,sebze ve bakliyat,Yurt dışı,M,A
111,2021-01-01,Buğday ekmeği,247,tahıl ve ürünleri,Yurt dışı,M,A
112,2021-01-01,Bulgur,350,tahıl ve ürünleri,Yurt dışı,M,A
113,2021-01-01,Erişte,390,tahıl ve ürünleri,Yurt dışı,M,A
114,2021-01-01,Makarna,390,tahıl ve ürünleri,Yurt dışı,M,A
115,2021-01-01,Mısır,351,tahıl ve ürünleri,Yurt dışı,M,A
116,2021-01-01,Mısır unu,353,tahıl ve ürünleri,Yurt dışı,M,A
117,2021-01-01,Nişasta,353,tahıl ve ürünleri,Yurt dışı,M,A
118,2021-01-01,Pilav,368,tahıl ve ürünleri,Yurt dışı,M,A
119,2021-01-01,Pirinç unu,353,tahıl ve ürünleri,Yurt dışı,M,A
120,2021-01-01,Şehriye,390,tahıl ve ürünleri,Yurt dışı,M,A
121,2021-01-01,Tarhana,329,tahıl ve ürünleri,Yurt dışı,M,A
122,2021-01-01,Yulaf unu,402,tahıl ve ürünleri,Yurt dışı,M,A
123,2021-01-01,yumurta,100,süt ürünleri ve kahvaltılık,Yurt dışı,M,A
124,2021-01-01,beyaz peynir,150,süt ürünleri ve kahvaltılık,Yurt dışı,M,A
125,2021-01-01,Kaşar peyniri,170,süt ürünleri ve kahvaltılık,Yurt dışı,M,A
126,2021-01-01,krema,200,süt ürünleri ve kahvaltılık,Yurt dışı,M,A
127,2021-01-01,yoğurt,90,süt ürünleri ve kahvaltılık,Yurt dışı,M,A
128,2021-01-01,sucuk,125,süt ürünleri ve kahvaltılık,Yurt dışı,M,A
129,2021-01-01,salam,125,süt ürünleri ve kahvaltılık,Yurt dışı,M,A
130,2021-01-01,sosis,120,süt ürünleri ve kahvaltılık,Yurt dışı,M,A
131,2021-01-01,tam buğday ekmek,250,süt ürünleri ve kahvaltılık,Yurt dışı,M,A
132,2021-01-01,kaymak,350,süt ürünleri ve kahvaltılık,Yurt dışı,M,A
133,2021-01-01,bal,400,süt ürünleri ve kahvaltılık,Yurt dışı,M,A
134,2021-01-01,tereyağ,375,süt ürünleri ve kahvaltılık,Yurt dışı,M,A
135,2021-01-01,Armut,57,meyve,Yurt dışı,M,A
136,2021-01-01,Çilek,39,meyve,Yurt dışı,M,A
137,2021-01-01,Elma,52,meyve,Yurt dışı,M,A
138,2021-01-01,Erik türleri,60,meyve,Yurt dışı,M,A
139,2021-01-01,İncir,80,meyve,Yurt dışı,M,A
140,2021-01-01,Karadut,93,meyve,Yurt dışı,M,A
141,2021-01-01,Karpuz,24,meyve,Yurt dışı,M,A
142,2021-01-01,Kavun,28,meyve,Yurt dışı,M,A
143,2021-01-01,Kayısı,54,meyve,Yurt dışı,M,A
144,2021-01-01,Kiraz,79,meyve,Yurt dışı,M,A
145,2021-01-01,Limon,17,meyve,Yurt dışı,M,A
146,2021-01-01,Mandalina,36,meyve,Yurt dışı,M,A
147,2021-01-01,Muz,90,meyve,Yurt dışı,M,A
148,2021-01-01,Nar,77,meyve,Yurt dışı,M,A
149,2021-01-01,Portakal,41,meyve,Yurt dışı,M,A
150,2021-01-01,Şeftali,49,meyve,Yurt dışı,M,A
151,2021-01-01,Üzüm,74,meyve,Yurt dışı,M,A
152,2021-01-01,Vişne,57,meyve,Yurt dışı,M,A
153,2021-01-01,fındık,110,kuruyemiş,Yurt dışı,M,A
154,2021-01-01,fıstık,115,kuruyemiş,Yurt dışı,M,A
155,2021-01-01,kaju,100,kuruyemiş,Yurt dışı,M,A
156,2021-01-01,badem,110,kuruyemiş,Yurt dışı,M,A
157,2021-01-01,ceviz,120,kuruyemiş,Yurt dışı,M,A
158,2021-01-01,kıyma,120,et,Yurt içi,C,A
159,2021-01-01,tavuk,103,et,Yurt içi,C,A
160,2021-01-01,hindi,160,et,Yurt içi,C,A
161,2021-01-01,Bakla-kuru,354,sebze ve bakliyat,Yurt içi,C,A
162,2021-01-01,Bakla-taze,72,sebze ve bakliyat,Yurt içi,C,A
163,2021-01-01,Bamya,42,sebze ve bakliyat,Yurt içi,C,A
164,2021-01-01,Barbunya-kuru,346,sebze ve bakliyat,Yurt içi,C,A
165,2021-01-01,Bezelye-taze,47,sebze ve bakliyat,Yurt içi,C,A
166,2021-01-01,Biber-yeşil,25,sebze ve bakliyat,Yurt içi,C,A
167,2021-01-01,Brüksel laha.,47,sebze ve bakliyat,Yurt içi,C,A
168,2021-01-01,Domates,25,sebze ve bakliyat,Yurt içi,C,A
169,2021-01-01,Enginar,63,sebze ve bakliyat,Yurt içi,C,A
170,2021-01-01,Fasulye-kuru,333,sebze ve bakliyat,Yurt içi,C,A
171,2021-01-01,Fasulye-taze,35,sebze ve bakliyat,Yurt içi,C,A
172,2021-01-01,Havuç,42,sebze ve bakliyat,Yurt içi,C,A
173,2021-01-01,Salatalık,8,sebze ve bakliyat,Yurt içi,C,A
174,2021-01-01,Ispanak,25,sebze ve bakliyat,Yurt içi,C,A
175,2021-01-01,Kabak,19,sebze ve bakliyat,Yurt içi,C,A
176,2021-01-01,Karnabahar,25,sebze ve bakliyat,Yurt içi,C,A
177,2021-01-01,Kereviz-baş,38,sebze ve bakliyat,Yurt içi,C,A
178,2021-01-01,Kırmızı-pancar,42,sebze ve bakliyat,Yurt içi,C,A
179,2021-01-01,Lahana,24,sebze ve bakliyat,Yurt içi,C,A
180,2021-01-01,Mantar,16,sebze ve bakliyat,Yurt içi,C,A
181,2021-01-01,Marul,15,sebze ve bakliyat,Yurt içi,C,A
182,2021-01-01,Mercimek-kuru,351,sebze ve bakliyat,Yurt içi,C,A
183,2021-01-01,Nohut,376,sebze ve bakliyat,Yurt içi,C,A
184,2021-01-01,Pancar,42,sebze ve bakliyat,Yurt içi,C,A
185,2021-01-01,Patates,83,sebze ve bakliyat,Yurt içi,C,A
186,2021-01-01,Patlıcan,24,sebze ve bakliyat,Yurt içi,C,A
187,2021-01-01,Pazı,27,sebze ve bakliyat,Yurt içi,C,A
188,2021-01-01,Pırasa,52,sebze ve bakliyat,Yurt içi,C,A
189,2021-01-01,Semizotu,32,sebze ve bakliyat,Yurt içi,C,A
190,2021-01-01,Buğday ekmeği,247,tahıl ve ürünleri,Yurt içi,C,A
191,2021-01-01,Bulgur,350,tahıl ve ürünleri,Yurt içi,C,A
192,2021-01-01,Erişte,390,tahıl ve ürünleri,Yurt içi,C,A
193,2021-01-01,Makarna,390,tahıl ve ürünleri,Yurt içi,C,A
194,2021-01-01,Mısır,351,tahıl ve ürünleri,Yurt içi,C,A
195,2021-01-01,Mısır unu,353,tahıl ve ürünleri,Yurt içi,C,A
196,2021-01-01,Nişasta,353,tahıl ve ürünleri,Yurt içi,C,A
197,2021-01-01,Pilav,368,tahıl ve ürünleri,Yurt içi,C,A
198,2021-01-01,Pirinç unu,353,tahıl ve ürünleri,Yurt içi,C,A
199,2021-01-01,Şehriye,390,tahıl ve ürünleri,Yurt içi,C,A
200,2021-01-01,Tarhana,329,tahıl ve ürünleri,Yurt içi,C,A
201,2021-01-01,Yulaf unu,402,tahıl ve ürünleri,Yurt içi,C,A
202,2021-01-01,yumurta,100,süt ürünleri ve kahvaltılık,Yurt içi,C,A
203,2021-01-01,beyaz peynir,150,süt ürünleri ve kahvaltılık,Yurt içi,C,A
204,2021-01-01,Kaşar peyniri,170,süt ürünleri ve kahvaltılık,Yurt içi,C,A
205,2021-01-01,krema,200,süt ürünleri ve kahvaltılık,Yurt içi,C,A
206,2021-01-01,yoğurt,90,süt ürünleri ve kahvaltılık,Yurt içi,C,A
207,2021-01-01,sucuk,125,süt ürünleri ve kahvaltılık,Yurt içi,C,A
208,2021-01-01,salam,125,süt ürünleri ve kahvaltılık,Yurt içi,C,A
209,2021-01-01,sosis,120,süt ürünleri ve kahvaltılık,Yurt içi,C,A
210,2021-01-01,tam buğday ekmek,250,süt ürünleri ve kahvaltılık,Yurt içi,C,A
211,2021-01-01,kaymak,350,süt ürünleri ve kahvaltılık,Yurt içi,C,A
212,2021-01-01,bal,400,süt ürünleri ve kahvaltılık,Yurt içi,C,A
213,2021-01-01,tereyağ,375,süt ürünleri ve kahvaltılık,Yurt içi,C,A
214,2021-01-01,Armut,57,meyve,Yurt içi,C,A
215,2021-01-01,Çilek,39,meyve,Yurt içi,C,A
216,2021-01-01,Elma,52,meyve,Yurt içi,C,A
217,2021-01-01,Erik türleri,60,meyve,Yurt içi,C,A
218,2021-01-01,İncir,80,meyve,Yurt içi,C,A
219,2021-01-01,Karadut,93,meyve,Yurt içi,C,A
220,2021-01-01,Karpuz,24,meyve,Yurt içi,C,A
221,2021-01-01,Kavun,28,meyve,Yurt içi,C,A
222,2021-01-01,Kayısı,54,meyve,Yurt içi,C,A
223,2021-01-01,Kiraz,79,meyve,Yurt içi,C,A
224,2021-01-01,Limon,17,meyve,Yurt içi,C,A
225,2021-01-01,Mandalina,36,meyve,Yurt içi,C,A
226,2021-01-01,Muz,90,meyve,Yurt içi,C,A
227,2021-01-01,Nar,77,meyve,Yurt içi,C,A
228,2021-01-01,Portakal,41,meyve,Yurt içi,C,A
229,2021-01-01,Şeftali,49,meyve,Yurt içi,C,A
230,2021-01-01,Üzüm,74,meyve,Yurt içi,C,A
231,2021-01-01,Vişne,57,meyve,Yurt içi,C,A
232,2021-01-01,fındık,110,kuruyemiş,Yurt içi,C,A
233,2021-01-01,fıstık,115,kuruyemiş,Yurt içi,C,A
234,2021-01-01,kaju,100,kuruyemiş,Yurt içi,C,A
235,2021-01-01,badem,110,kuruyemiş,Yurt içi,C,A
236,2021-01-01,ceviz,120,kuruyemiş,Yurt içi,C,A
237,2021-01-01,kıyma,120,et,Yurt dışı,C,A
238,2021-01-01,tavuk,103,et,Yurt dışı,C,A
239,2021-01-01,hindi,160,et,Yurt dışı,C,A
240,2021-01-01,Bakla-kuru,354,sebze ve bakliyat,Yurt dışı,C,A
241,2021-01-01,Bakla-taze,72,sebze ve bakliyat,Yurt dışı,C,A
242,2021-01-01,Bamya,42,sebze ve bakliyat,Yurt dışı,C,A
243,2021-01-01,Barbunya-kuru,346,sebze ve bakliyat,Yurt dışı,C,A
244,2021-01-01,Bezelye-taze,47,sebze ve bakliyat,Yurt dışı,C,A
245,2021-01-01,Biber-yeşil,25,sebze ve bakliyat,Yurt dışı,C,A
246,2021-01-01,Brüksel laha.,47,sebze ve bakliyat,Yurt dışı,C,A
247,2021-01-01,Domates,25,sebze ve bakliyat,Yurt dışı,C,A
248,2021-01-01,Enginar,63,sebze ve bakliyat,Yurt dışı,C,A
249,2021-01-01,Fasulye-kuru,333,sebze ve bakliyat,Yurt dışı,C,A
250,2021-01-01,Fasulye-taze,35,sebze ve bakliyat,Yurt dışı,C,A
251,2021-01-01,Havuç,42,sebze ve bakliyat,Yurt dışı,C,A
252,2021-01-01,Salatalık,8,sebze ve bakliyat,Yurt dışı,C,A
253,2021-01-01,Ispanak,25,sebze ve bakliyat,Yurt dışı,C,A
254,2021-01-01,Kabak,19,sebze ve bakliyat,Yurt dışı,C,A
255,2021-01-01,Karnabahar,25,sebze ve bakliyat,Yurt dışı,C,A
256,2021-01-01,Kereviz-baş,38,sebze ve bakliyat,Yurt dışı,C,A
257,2021-01-01,Kırmızı-pancar,42,sebze ve bakliyat,Yurt dışı,C,A
258,2021-01-01,Lahana,24,sebze ve bakliyat,Yurt dışı,C,A
259,2021-01-01,Mantar,16,sebze ve bakliyat,Yurt dışı,C,A
260,2021-01-01,Marul,15,sebze ve bakliyat,Yurt dışı,C,A
261,2021-01-01,Mercimek-kuru,351,sebze ve bakliyat,Yurt dışı,C,A
262,2021-01-01,Nohut,376,sebze ve bakliyat,Yurt dışı,C,A
263,2021-01-01,Pancar,42,sebze ve bakliyat,Yurt dışı,C,A
264,2021-01-01,Patates,83,sebze ve bakliyat,Yurt dışı,C,A
265,2021-01-01,Patlıcan,24,sebze ve bakliyat,Yurt dışı,C,A
266,2021-01-01,Pazı,27,sebze ve bakliyat,Yurt dışı,C,A
267,2021-01-01,Pırasa,52,sebze ve bakliyat,Yurt dışı,C,A
268,2021-01-01,Semizotu,32,sebze ve bakliyat,Yurt dışı,C,A
269,2021-01-01,Buğday ekmeği,247,tahıl ve ürünleri,Yurt dışı,C,A
270,2021-01-01,Bulgur,350,tahıl ve ürünleri,Yurt dışı,C,A
271,2021-01-01,Erişte,390,tahıl ve ürünleri,Yurt dışı,C,A
272,2021-01-01,Makarna,390,tahıl ve ürünleri,Yurt dışı,C,A
273,2021-01-01,Mısır,351,tahıl ve ürünleri,Yurt dışı,C,A
274,2021-01-01,Mısır unu,353,tahıl ve ürünleri,Yurt dışı,C,A
275,2021-01-01,Nişasta,353,tahıl ve ürünleri,Yurt dışı,C,A
276,2021-01-01,Pilav,368,tahıl ve ürünleri,Yurt dışı,C,A
277,2021-01-01,Pirinç unu,353,tahıl ve ürünleri,Yurt dışı,C,A
278,2021-01-01,Şehriye,390,tahıl ve ürünleri,Yurt dışı,C,A
279,2021-01-01,Tarhana,329,tahıl ve ürünleri,Yurt dışı,C,A
280,2021-01-01,Yulaf unu,402,tahıl ve ürünleri,Yurt dışı,C,A
281,2021-01-01,yumurta,100,süt ürünleri ve kahvaltılık,Yurt dışı,C,A
282,2021-01-01,beyaz peynir,150,süt ürünleri ve kahvaltılık,Yurt dışı,C,A
283,2021-01-01,Kaşar peyniri,170,süt ürünleri ve kahvaltılık,Yurt dışı,C,A
284,2021-01-01,krema,200,süt ürünleri ve kahvaltılık,Yurt dışı,C,A
285,2021-01-01,yoğurt,90,süt ürünleri ve kahvaltılık,Yurt dışı,C,A
286,2021-01-01,sucuk,125,süt ürünleri ve kahvaltılık,Yurt dışı,C,A
287,2021-01-01,salam,125,süt ürünleri ve kahvaltılık,Yurt dışı,C,A
288,2021-01-01,sosis,120,süt ürünleri ve kahvaltılık,Yurt dışı,C,A
289,2021-01-01,tam buğday ekmek,250,süt ürünleri ve kahvaltılık,Yurt dışı,C,A
290,2021-01-01,kaymak,350,süt ürünleri ve kahvaltılık,Yurt dışı,C,A
291,2021-01-01,bal,400,süt ürünleri ve kahvaltılık,Yurt dışı,C,A
292,2021-01-01,tereyağ,375,süt ürünleri ve kahvaltılık,Yurt dışı,C,A
293,2021-01-01,Armut,57,meyve,Yurt dışı,C,A
294,2021-01-01,Çilek,39,meyve,Yurt dışı,C,A
295,2021-01-01,Elma,52,meyve,Yurt dışı,C,A
296,2021-01-01,Erik türleri,60,meyve,Yurt dışı,C,A
297,2021-01-01,İncir,80,meyve,Yurt dışı,C,A
298,2021-01-01,Karadut,93,meyve,Yurt dışı,C,A
299,2021-01-01,Karpuz,24,meyve,Yurt dışı,C,A
300,2021-01-01,Kavun,28,meyve,Yurt dışı,C,A
301,2021-01-01,Kayısı,54,meyve,Yurt dışı,C,A
302,2021-01-01,Kiraz,79,meyve,Yurt dışı,C,A
303,2021-01-01,Limon,17,meyve,Yurt dışı,C,A
304,2021-01-01,Mandalina,36,meyve,Yurt dışı,C,A
305,2021-01-01,Muz,90,meyve,Yurt dışı,C,A
306,2021-01-01,Nar,77,meyve,Yurt dışı,C,A
307,2021-01-01,Portakal,41,meyve,Yurt dışı,C,A
308,2021-01-01,Şeftali,49,meyve,Yurt dışı,C,A
309,2021-01-01,Üzüm,74,meyve,Yurt dışı,C,A
310,2021-01-01,Vişne,57,meyve,Yurt dışı,C,A
311,2021-01-01,fındık,110,kuruyemiş,Yurt dışı,C,A
312,2021-01-01,fıstık,115,kuruyemiş,Yurt dışı,C,A
313,2021-01-01,kaju,100,kuruyemiş,Yurt dışı,C,A
314,2021-01-01,badem,110,kuruyemiş,Yurt dışı,C,A
315,2021-01-01,ceviz,120,kuruyemiş,Yurt dışı,C,A
316,2021-01-01,kıyma,120,et,Yurt içi,B,A
317,2021-01-01,tavuk,103,et,Yurt içi,B,A
318,2021-01-01,hindi,160,et,Yurt içi,B,A
319,2021-01-01,Bakla-kuru,354,sebze ve bakliyat,Yurt içi,B,A
320,2021-01-01,Bakla-taze,72,sebze ve bakliyat,Yurt içi,B,A
321,2021-01-01,Bamya,42,sebze ve bakliyat,Yurt içi,B,A
322,2021-01-01,Barbunya-kuru,346,sebze ve bakliyat,Yurt içi,B,A
323,2021-01-01,Bezelye-taze,47,sebze ve bakliyat,Yurt içi,B,A
324,2021-01-01,Biber-yeşil,25,sebze ve bakliyat,Yurt içi,B,A
325,2021-01-01,Brüksel laha.,47,sebze ve bakliyat,Yurt içi,B,A
326,2021-01-01,Domates,25,sebze ve bakliyat,Yurt içi,B,A
327,2021-01-01,Enginar,63,sebze ve bakliyat,Yurt içi,B,A
328,2021-01-01,Fasulye-kuru,333,sebze ve bakliyat,Yurt içi,B,A
329,2021-01-01,Fasulye-taze,35,sebze ve bakliyat,Yurt içi,B,A
330,2021-01-01,Havuç,42,sebze ve bakliyat,Yurt içi,B,A
331,2021-01-01,Salatalık,8,sebze ve bakliyat,Yurt içi,B,A
332,2021-01-01,Ispanak,25,sebze ve bakliyat,Yurt içi,B,A
333,2021-01-01,Kabak,19,sebze ve bakliyat,Yurt içi,B,A
334,2021-01-01,Karnabahar,25,sebze ve bakliyat,Yurt içi,B,A
335,2021-01-01,Kereviz-baş,38,sebze ve bakliyat,Yurt içi,B,A
336,2021-01-01,Kırmızı-pancar,42,sebze ve bakliyat,Yurt içi,B,A
337,2021-01-01,Lahana,24,sebze ve bakliyat,Yurt içi,B,A
338,2021-01-01,Mantar,16,sebze ve bakliyat,Yurt içi,B,A
339,2021-01-01,Marul,15,sebze ve bakliyat,Yurt içi,B,A
340,2021-01-01,Mercimek-kuru,351,sebze ve bakliyat,Yurt içi,B,A
341,2021-01-01,Nohut,376,sebze ve bakliyat,Yurt içi,B,A
342,2021-01-01,Pancar,42,sebze ve bakliyat,Yurt içi,B,A
343,2021-01-01,Patates,83,sebze ve bakliyat,Yurt içi,B,A
344,2021-01-01,Patlıcan,24,sebze ve bakliyat,Yurt içi,B,A
345,2021-01-01,Pazı,27,sebze ve bakliyat,Yurt içi,B,A
346,2021-01-01,Pırasa,52,sebze ve bakliyat,Yurt içi,B,A
347,2021-01-01,Semizotu,32,sebze ve bakliyat,Yurt içi,B,A
348,2021-01-01,Buğday ekmeği,247,tahıl ve ürünleri,Yurt içi,B,A
349,2021-01-01,Bulgur,350,tahıl ve ürünleri,Yurt içi,B,A
350,2021-01-01,Erişte,390,tahıl ve ürünleri,Yurt içi,B,A
351,2021-01-01,Makarna,390,tahıl ve ürünleri,Yurt içi,B,A
352,2021-01-01,Mısır,351,tahıl ve ürünleri,Yurt içi,B,A
353,2021-01-01,Mısır unu,353,tahıl ve ürünleri,Yurt içi,B,A
354,2021-01-01,Nişasta,353,tahıl ve ürünleri,Yurt içi,B,A
355,2021-01-01,Pilav,368,tahıl ve ürünleri,Yurt içi,B,A
356,2021-01-01,Pirinç unu,353,tahıl ve ürünleri,Yurt içi,B,A
357,2021-01-01,Şehriye,390,tahıl ve ürünleri,Yurt içi,B,A
358,2021-01-01,Tarhana,329,tahıl ve ürünleri,Yurt içi,B,A
359,2021-01-01,Yulaf unu,402,tahıl ve ürünleri,Yurt içi,B,A
360,2021-01-01,yumurta,100,süt ürünleri ve kahvaltılık,Yurt içi,B,A
